name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Kellen Heard,3,26,1.84615384615385,Career,,40.0,,,,4.0,0.0,0.0,,,,,,,,,4.0,,,,,kellen-heard-1,,,DL,,,,,,,,,,,,3.5,,Career,28.0,7.0,Texas A&M,68.0,,,,,,0.0,,,,
Joel Heath,7,32,3.5,Career,,36.0,,,,1.0,1.0,,,6-Jun,0.0,0.0,,,,,2.0,,,,,joel-heath-1,,,DL,,,,,,,,,,,,4.5,,Career,24.0,11.0,Michigan State,60.0,,,293.0,,,,0.0,,,
John Henderson,76,146,8.328767123287669,Career,,27.0,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,john-henderson-3,,,DL,,,,,,,,,,,,1.0,,Career,21.0,5.0,Southern Mississippi,48.0,,,,,,0.0,,,,
Cameron Heyward,74,134,8.83582089552239,Career,,83.0,,0.0,0.0,2.0,0.0,1.0,,,1.0,0.0,,0.0,0.0,,4.0,,,,,cameron-heyward-1,,6.0,DL,0.0,,,,,,,,,,,15.5,0.0,Career,80.0,37.5,Ohio State,163.0,1.0,0.0,,,,0.0,80.0,80.0,,
Akiem Hicks,52,114,7.29824561403509,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,akiem-hicks-1,,,DL,,,,,,,,,,,,0.0,,Career,1.0,1.0,LSU,1.0,,,,,,0.0,,,,
Jordan Hill,6,31,3.09677419354839,Career,,72.0,,,,1.0,0.0,0.0,,,1.0,0.0,,,,,2.0,,,,,jordan-hill-2,,,DL,,,,,,,,,,,,8.0,,Career,51.0,16.5,Penn State,123.0,,,,,,0.0,9.0,9.0,,
Evander Hood,45,141,5.1063829787234,Career,,67.0,,,,5.0,0.0,0.0,,,,,,,,,8.0,,,,,evander-hood-1,,,DL,,,,,,,,,,,,14.5,,Career,88.0,22.5,Missouri,155.0,,,,,,0.0,,,,
Wes Horton,18,83,3.4698795180722897,Career,,57.0,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,5.0,,,,,wes-horton-1,,,DL,,,,,,,,,,,,14.5,,Career,60.0,18.0,USC,117.0,,,,,,0.0,0.0,,,
Lamarr Houston,36,100,5.76,Career,,50.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,8.0,,,,,lamarr-houston-1,,,DL,,,,,,,,,,,,14.0,,Career,86.0,35.5,Texas,136.0,,,,,,0.0,0.0,,,
Jaye Howard,18,45,6.4,Career,,51.0,,0.0,0.0,0.0,2.0,1.0,,,,,,0.0,,,2.0,,,,,jaye-howard-1,,6.0,DL,0.0,,,,,,,,,,,11.0,0.0,Career,80.0,25.5,Florida,131.0,1.0,0.0,,,,8.0,,,,
