name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Curtis Brinkley,2,23,1.3913043478260902,Career,3.0,0.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,,1.0,,100.0,0.0,3.0,3.0,curtis-brinkley-1,527.0,72.0,RB,,125.2,1.0,321.0,9.7,33.0,494.0,11.0,2132.0,4.3,12.0,0.0,,Career,3.0,0.0,Syracuse,3.0,12.0,,,2453.0,4.7,,0.0,,,
Aaron Brown,2,22,1.45454545454545,Career,,,,,,,,,,,,,,1.0,,,,,,,,aaron-brown-2,568.0,156.0,RB,0.0,,5.0,857.0,10.6,81.0,487.0,20.0,2596.0,5.3,25.0,,,Career,,,Texas Christian,,26.0,,,3453.0,6.1,,,,,
Andre Brown,7,22,5.09090909090909,Career,-45.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,0.0,,1.0,,0.0,0.0,0.0,0.0,andre-brown-1,593.0,144.0,RB,0.0,-200.0,2.0,631.0,9.0,70.0,523.0,22.0,2539.0,4.9,24.0,0.0,,Career,1.0,0.0,North Carolina State,1.0,24.0,,,3170.0,5.3,,0.0,,,
Bryce Brown,10,42,3.80952380952381,Career,,,,0.0,0.0,,,,,9-May,,,,0.0,,,,,,,,bryce-brown-1,115.0,24.0,RB,0.0,,1.0,140.0,12.7,11.0,104.0,3.0,476.0,4.6,4.0,,0.0,Career,,,Overall,,4.0,0.0,170.0,616.0,5.4,,,,,
Donald Brown,28,88,5.09090909090909,Career,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,donald-brown-1,746.0,210.0,RB,,,2.0,276.0,5.8,48.0,698.0,33.0,3800.0,5.4,35.0,0.0,,Career,3.0,0.0,Connecticut,3.0,35.0,,,4076.0,5.5,,0.0,,,
Malcolm Brown,6,54,1.77777777777778,Career,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,malcolm-brown-1,219.0,90.0,RB,0.0,0.0,4.0,301.0,20.1,15.0,204.0,11.0,1356.0,6.6,15.0,0.0,0.0,Career,2.0,0.0,Army,4.0,15.0,0.0,,1657.0,7.6,0.0,0.0,,,
Preston Brown,38,81,7.50617283950617,Career,,,,,,,,,,,,,,0.0,,,,,,,,preston-brown-1,74.0,12.0,RB,,,1.0,192.0,9.6,20.0,54.0,1.0,298.0,5.5,2.0,,,Career,,,Arkansas State,,2.0,,,490.0,6.6,,,,,
Ricky Brown,9,58,2.48275862068966,,,,,,,,,,,,,,,0.0,,,,,,,,ricky-brown-1,97.0,12.0,RB,,,0.0,236.0,10.3,23.0,74.0,2.0,351.0,4.7,2.0,,,Career,,,Texas,,2.0,,,587.0,6.1,,,,,Career
Ronnie Brown,48,132,5.81818181818182,,0.0,,0.0,,,,,,,,,,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,ronnie-brown-1,571.0,180.0,RB,,0.0,2.0,668.0,11.5,58.0,513.0,28.0,2707.0,5.3,30.0,,,Career,,,Auburn,,30.0,,,3375.0,5.9,,,,,Career
Vincent Brown,9,38,3.78947368421053,Career,,,,,,,,,,,,,,,,,,,,,,vincent-brown-1,9.0,,RB,,,,,,,9.0,0.0,12.0,1.3,0.0,,,Career,,,Florida,,,,,12.0,1.3,,,,,
Correll Buckhalter,32,103,4.970873786407769,,,,,,,,,,,,,,,0.0,,,,,,,,correll-buckhalter-1,437.0,168.0,RB,,,1.0,200.0,8.3,24.0,413.0,27.0,2522.0,6.1,28.0,,,Career,,,Nebraska,,28.0,,,2722.0,6.2,,,,,Career
