"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"70","James Butler",24,101,3.8019801980198,"Career",NA,0,NA,0,0,0,0,NA,NA,"3-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"james-butler-2",NA,24,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Louisiana",4,4,NA,217,NA,NA,NA,0,NA,NA,NA
"71","Damiere Byrd",5,28,2.85714285714286,"Career",NA,1,NA,0,0,0,1,NA,NA,"9-May",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"damiere-byrd-1",NA,60,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",10,0,"South Carolina",11,10,NA,170,NA,NA,NA,0,NA,NA,NA
"72","Andre Caldwell",13,105,1.98095238095238,"Career",18.3,0,2,NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,3,NA,66.7,1,35,11.7,"andre-caldwell-1",NA,120,"WR",NA,274.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Florida",1,20,NA,NA,NA,NA,NA,0,NA,NA,NA
"73","Antonio Callaway",5,20,4,"Career",22,0,1,0,0,0,0,NA,NA,"11-May",0,0,0,1,NA,1,0,100,1,2,2,"antonio-callaway-1",NA,66,"WR",2,446.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Florida",1,11,NA,197,NA,NA,NA,0,NA,NA,NA
"74","Michael Campanaro",4,24,2.66666666666667,"Career",29.9,0,6,0,0,0,0,NA,NA,"11-May",0,0,1,0,NA,7,0,85.7,4,174,24.9,"michael-campanaro-1",NA,102,"WR",1,454.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Wake Forest",1,17,NA,190,NA,NA,NA,0,NA,NA,NA
"75","Chris Canty",58,148,6.27027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",14,2,NA,0,NA,NA,NA,NA,NA,NA,NA,"chris-canty-1",NA,18,"WR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Kansas State",NA,3,NA,NA,NA,NA,NA,164,11.7,NA,"Career"
"76","Austin Carr",1,21,0.761904761904762,"Career",NA,2,NA,0,0,0,0,NA,NA,"1-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"austin-carr-1",NA,84,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0.5,"Northwestern",4,14,NA,200,NA,NA,NA,0,NA,NA,NA
"77","Leonte Carroo",2,37,0.864864864864865,"Career",NA,0,NA,0,0,0,0,0,NA,"1-Jun",0,0,NA,0,NA,NA,1,NA,NA,NA,NA,"leonte-carroo-1",NA,174,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Career",3,0,"Rutgers",3,29,0,205,NA,NA,0,0,NA,NA,NA
"78","Andre Carter",76,184,6.60869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"andre-carter-3",NA,6,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Kansas",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"79","Tim Carter",10,71,2.25352112676056,NA,39,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,0,1,NA,1,NA,100,0,39,39,"tim-carter-1",NA,30,"WR",0,427.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Auburn",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
